method,gene_id
source_top500,Solyc09g005560
source_top500,Solyc05g010320
source_top500,Solyc03g098740
source_top500,Solyc02g077790
source_top500,Solyc11g007250
source_top500,Solyc03g122350
source_top500,Solyc02g081600
source_top500,Solyc10g051020
source_top500,Solyc10g054840
source_top500,Solyc03g115640
source_top500,Solyc01g109790
source_top500,Solyc11g071740
source_top500,Solyc02g078340
source_top500,Solyc02g055440
source_top500,Solyc00g156980
source_top500,Solyc06g006090
source_top500,Solyc04g072850
source_top500,Solyc09g092580
source_top500,Solyc07g063350
source_top500,Solyc07g005390
source_top500,Solyc08g067610
source_top500,Solyc04g071590
source_top500,Solyc09g031880
source_top500,Solyc01g108730
source_top500,Solyc10g024430
source_top500,Solyc02g088100
source_top500,Solyc09g075810
source_top500,Solyc10g080900
source_top500,Solyc12g098600
source_top500,Solyc03g118510
source_top500,Solyc04g054740
source_top500,Solyc09g074630
source_top500,Solyc05g011960
source_top500,Solyc11g022590
source_top500,Solyc02g071000
source_top500,Solyc09g011590
source_top500,Solyc03g078440
source_top500,Solyc05g053640
source_top500,Solyc11g012880
source_top500,Solyc07g056540
source_top500,Solyc06g068900
source_top500,Solyc02g038740
source_top500,Solyc08g007850
source_top500,Solyc09g083390
source_top500,Solyc08g075080
source_top500,Solyc06g069430
source_top500,Solyc11g072310
source_top500,Solyc12g096870
source_top500,Solyc05g015380
source_top500,Solyc08g081940
source_top500,Solyc02g062390
source_top500,Solyc05g005960
source_top500,Solyc01g099660
source_top500,Solyc01g104850
source_top500,Solyc09g011470
source_top500,Solyc10g083290
source_top500,Solyc01g097770
source_top500,Solyc10g086710
source_top500,Solyc12g098490
source_top500,Solyc05g055400
source_top500,Solyc05g026240
source_top500,Solyc05g051010
source_top500,Solyc10g051120
source_top500,Solyc06g065670
source_top500,Solyc11g044910
source_top500,Solyc02g065350
source_top500,Solyc09g011610
source_top500,Solyc02g021680
source_top500,Solyc02g078570
source_top500,Solyc07g008620
source_top500,Solyc04g015390
source_top500,Solyc12g010050
source_top500,Solyc01g108860
source_top500,Solyc03g031860
source_top500,Solyc03g071570
source_top500,Solyc03g006760
source_top500,Solyc08g005610
source_top500,Solyc05g012510
source_top500,Solyc03g118120
source_top500,Solyc02g065280
source_top500,Solyc09g091000
source_top500,Solyc06g069730
source_top500,Solyc01g058270
source_top500,Solyc06g048470
source_top500,Solyc02g085910
source_top500,Solyc03g120290
source_top500,Solyc04g081300
source_top500,Solyc02g023950
source_top500,Solyc03g005780
source_top500,Solyc05g014920
source_top500,Solyc12g009930
source_top500,Solyc12g013700
source_top500,Solyc05g050290
source_top500,Solyc02g092220
source_top500,Solyc08g080490
source_top500,Solyc03g113350
source_top500,Solyc07g026650
source_top500,Solyc07g055050
source_top500,Solyc06g054320
source_top500,Solyc02g092580
source_top500,Solyc01g107890
source_top500,Solyc10g076240
source_top500,Solyc07g043500
source_top500,Solyc12g006530
source_top500,Solyc09g031740
source_top500,Solyc08g014130
source_top500,Solyc02g078950
source_top500,Solyc12g015690
source_top500,Solyc10g018780
source_top500,Solyc07g055710
source_top500,Solyc04g064940
source_top500,Solyc06g009190
source_top500,Solyc12g055970
source_top500,Solyc02g084600
source_top500,Solyc04g012060
source_top500,Solyc07g061970
source_top500,Solyc01g006540
source_top500,Solyc12g011450
source_top500,Solyc05g011970
source_top500,Solyc01g108880
source_top500,Solyc07g017950
source_top500,Solyc06g053950
source_top500,Solyc10g047030
source_top500,Solyc11g072080
source_top500,Solyc04g071770
source_top500,Solyc12g013710
source_top500,Solyc08g080630
source_top500,Solyc02g080040
source_top500,Solyc06g009770
source_top500,Solyc12g015850
source_top500,Solyc02g070790
source_top500,Solyc02g064830
source_top500,Solyc08g016310
source_top500,Solyc04g064870
source_top500,Solyc05g052820
source_top500,Solyc10g083440
source_top500,Solyc05g015370
source_top500,Solyc12g008480
source_top500,Solyc09g075140
source_top500,Solyc03g116370
source_top500,Solyc12g070080
source_top500,Solyc10g083670
source_top500,Solyc03g121600
source_top500,Solyc07g063600
source_top500,Solyc05g009650
source_top500,Solyc08g078870
source_top500,Solyc10g078740
source_top500,Solyc03g082730
source_top500,Solyc07g065540
source_top500,Solyc03g031880
source_top500,Solyc02g072440
source_top500,Solyc12g006140
source_top500,Solyc12g098790
source_top500,Solyc08g066430
source_top500,Solyc05g054090
source_top500,Solyc04g053010
source_top500,Solyc06g064900
source_top500,Solyc12g100270
source_top500,Solyc10g078160
source_top500,Solyc04g016330
source_top500,Solyc06g053620
source_top500,Solyc12g094640
source_top500,Solyc12g099430
source_top500,Solyc02g092120
source_top500,Solyc12g049520
source_top500,Solyc07g064720
source_top500,Solyc06g035610
source_top500,Solyc10g080980
source_top500,Solyc01g099630
source_top500,Solyc03g123830
source_top500,Solyc04g054990
source_top500,Solyc12g017530
source_top500,Solyc03g116510
source_top500,Solyc02g077330
source_top500,Solyc05g007770
source_top500,Solyc02g087470
source_top500,Solyc02g082650
source_top500,Solyc07g049440
source_top500,Solyc11g011210
source_top500,Solyc09g083130
source_top500,Solyc03g063730
source_top500,Solyc09g011720
source_top500,Solyc01g068490
source_top500,Solyc10g076710
source_top500,Solyc03g097440
source_top500,Solyc11g072040
source_top500,Solyc01g097000
source_top500,Solyc11g020330
source_top500,Solyc02g079490
source_top500,Solyc08g014010
source_top500,Solyc10g054080
source_top500,Solyc05g014300
source_top500,Solyc11g006670
source_top500,Solyc07g062490
source_top500,Solyc02g070800
source_top500,Solyc05g025600
source_top500,Solyc07g063850
source_top500,Solyc07g062550
source_top500,Solyc07g007750
source_top500,Solyc10g085830
source_top500,Solyc05g041430
source_top500,Solyc04g082120
source_top500,Solyc07g043420
source_top500,Solyc09g007940
source_top500,Solyc10g081010
source_top500,Solyc01g100930
source_top500,Solyc06g050840
source_top500,Solyc03g114360
source_top500,Solyc05g006740
source_top500,Solyc04g005800
source_top500,Solyc07g007350
source_top500,Solyc06g069380
source_top500,Solyc01g008680
source_top500,Solyc01g095640
source_top500,Solyc04g079460
source_top500,Solyc12g055810
source_top500,Solyc05g056170
source_top500,Solyc07g049290
source_top500,Solyc07g056510
source_top500,Solyc01g081290
source_top500,Solyc02g078620
source_top500,Solyc03g112030
source_top500,Solyc11g011880
source_top500,Solyc02g090930
source_top500,Solyc04g071090
source_top500,Solyc08g082250
source_top500,Solyc03g093360
source_top500,Solyc12g041950
source_top500,Solyc12g049030
source_top500,Solyc03g117630
source_top500,Solyc06g074260
source_top500,Solyc03g026210
source_top500,Solyc02g031990
source_top500,Solyc01g079940
source_top500,Solyc08g013670
source_top500,Solyc11g071980
source_top500,Solyc11g010200
source_top500,Solyc05g047530
source_top500,Solyc10g079410
source_top500,Solyc07g066150
source_top500,Solyc06g084050
source_top500,Solyc12g011410
source_top500,Solyc04g015640
source_top500,Solyc04g016200
source_top500,Solyc06g082460
source_top500,Solyc01g096740
source_top500,Solyc02g083700
source_top500,Solyc09g065670
source_top500,Solyc12g017250
source_top500,Solyc07g051820
source_top500,Solyc03g115000
source_top500,Solyc11g064910
source_top500,Solyc01g105050
source_top500,Solyc05g005920
source_top500,Solyc07g043460
source_top500,Solyc01g066740
source_top500,Solyc12g088350
source_top500,Solyc03g118370
source_top500,Solyc10g050110
source_top500,Solyc10g044510
source_top500,Solyc08g008120
source_top500,Solyc07g007550
source_top500,Solyc02g014430
source_top500,Solyc02g083450
source_top500,Solyc11g010690
source_top500,Solyc03g118060
source_top500,Solyc11g008720
source_top500,Solyc09g089750
source_top500,Solyc01g090730
source_top500,Solyc08g077550
source_top500,Solyc03g045070
source_top500,Solyc06g075720
source_top500,Solyc08g021820
source_top500,Solyc02g087870
source_top500,Solyc06g061170
source_top500,Solyc02g069670
source_top500,Solyc09g092430
source_top500,Solyc05g025680
source_top500,Solyc10g006880
source_top500,Solyc03g033730
source_top500,Solyc12g088700
source_top500,Solyc07g065290
source_top500,Solyc08g066360
source_top500,Solyc06g072700
source_top500,Solyc03g122130
source_top500,Solyc04g080540
source_top500,Solyc07g049370
source_top500,Solyc10g080540
source_top500,Solyc05g012890
source_top500,Solyc02g092110
source_top500,Solyc02g065530
source_top500,Solyc05g007120
source_top500,Solyc09g098340
source_top500,Solyc07g017600
source_top500,Solyc04g016000
source_top500,Solyc03g117690
source_top500,Solyc06g005300
source_top500,Solyc08g006310
source_top500,Solyc02g079710
source_top500,Solyc02g083380
source_top500,Solyc03g082560
source_top500,Solyc11g040150
source_top500,Solyc12g006660
source_top500,Solyc11g012860
source_top500,Solyc01g109500
source_top500,Solyc11g042940
source_top500,Solyc01g109180
source_top500,Solyc02g065780
source_top500,Solyc11g008810
source_top500,Solyc06g083580
source_top500,Solyc10g054670
source_top500,Solyc03g113280
