gene_id,display_name,frozen_grade,context,role,n_early,n_late,effect_scale,measured,effect,reference_effect,same_direction,bootstrap_same_direction_frequency,effect_bootstrap_p025,effect_bootstrap_p975
Solyc01g108490,Solyc01g108490,A,GSE78733,external_not_used_in_grade,2,3,rank01,True,-0.1519716328798922,-0.7807965959821428,True,1.0,-0.22959760787669545,-0.07434565788308889
Solyc10g084600,Solyc10g084600,A,GSE78733,external_not_used_in_grade,2,3,rank01,True,0.21996567224369756,0.6166178385416667,True,1.0,0.19807312107173414,0.24185822341566088
Solyc02g070890,Solyc02g070890,A,GSE78733,external_not_used_in_grade,2,3,rank01,True,0.08136120865177487,0.5818684895833335,True,1.0,0.04082445631325815,0.12189796099029171
Solyc09g092430,Solyc09g092430,A,GSE78733,external_not_used_in_grade,2,3,rank01,True,-0.08327431713338646,-0.418701171875,True,1.0,-0.13167897400336395,-0.0359605378343022
Solyc08g080630,ER1,A,GSE78733,external_not_used_in_grade,2,3,rank01,True,0.35319474362379133,0.47013346354166663,True,1.0,0.28201382946285414,0.42437565778472863
Solyc01g104850,Solyc01g104850,A,GSE78733,external_not_used_in_grade,2,3,rank01,True,-0.37201845239851666,-0.5013718377976191,True,1.0,-0.4487949629673345,-0.2557669892885596
Solyc07g063600,Solyc07g063600,A,GSE78733,external_not_used_in_grade,2,3,rank01,True,0.00538768725348443,-0.4616582961309524,False,0.4351851851851852,-0.13573234186117422,0.14650771636814314
Solyc03g118060,Solyc03g118060,A,GSE78733,external_not_used_in_grade,2,3,rank01,True,0.13675283031858898,0.4217471168154762,True,1.0,0.11007013091760354,0.16343552971957465
Solyc10g079050,Solyc10g079050,A,GSE78733,external_not_used_in_grade,2,3,rank01,True,0.30820226818928464,0.5567452566964286,True,1.0,0.2960744391001997,0.3203300972783696
Solyc07g042390,Solyc07g042390,A,GSE78733,external_not_used_in_grade,2,3,rank01,True,-0.15837243156579817,-0.5619187127976191,True,1.0,-0.19333707102599662,-0.12340779210559971
Solyc01g095080,ACS2,B,GSE78733,external_not_used_in_grade,2,3,rank01,True,0.033828577611221045,0.6965680803571429,True,0.9351851851851852,-0.006118012727827193,0.07377516795026906
Solyc08g005610,CYP707A2,B,GSE78733,external_not_used_in_grade,2,3,rank01,True,0.028263841757895758,0.4896647135416666,True,1.0,0.011454060806358024,0.045073622709433714
Solyc12g017530,Solyc12g017530,B,GSE78733,external_not_used_in_grade,2,3,rank01,True,0.0016721256651617278,0.4520786830357142,True,0.9351851851851852,-0.00023114678312541326,0.003944864115199743
Solyc07g054750,Solyc07g054750,B,GSE78733,external_not_used_in_grade,2,3,rank01,True,0.34386526601552114,0.6946265811011906,True,1.0,0.2924105166868305,0.3953200153442119
Solyc02g083380,Solyc02g083380,B,GSE78733,external_not_used_in_grade,2,3,rank01,True,0.1258766364700442,0.4128882998511906,True,1.0,0.08740791013799964,0.16434536280208933
Solyc06g068900,Solyc06g068900,B,GSE78733,external_not_used_in_grade,2,3,rank01,True,0.05562522745827059,0.5066615513392856,True,1.0,0.038360529965475454,0.07288992495106572
Solyc03g114360,Solyc03g114360,B,GSE78733,external_not_used_in_grade,2,3,rank01,True,0.10312835039885138,0.4378255208333335,True,1.0,0.034258904069167206,0.17199779672853543
Solyc08g078870,Solyc08g078870,B,GSE78733,external_not_used_in_grade,2,3,rank01,True,0.6522273697463287,0.4613676525297618,True,1.0,0.6010554063757167,0.7033993331169406
Solyc06g072650,Solyc06g072650,B,GSE78733,external_not_used_in_grade,2,3,rank01,True,0.07513008154071632,0.5408296130952381,True,1.0,0.03917366254536871,0.1028554004740968
Solyc12g096570,ARGOS,B,GSE78733,external_not_used_in_grade,2,3,rank01,True,0.04650968357480789,0.5442475818452381,True,1.0,0.03320644850344745,0.059812918646168445
Solyc03g082560,Solyc03g082560,B,GSE78733,external_not_used_in_grade,2,3,rank01,True,-0.07501942616581586,-0.41287667410714274,True,1.0,-0.13886511847502142,-0.011173733856610302
Solyc01g066740,Solyc01g066740,B,GSE78733,external_not_used_in_grade,2,3,rank01,True,-0.008695053458841029,-0.42368861607142866,True,0.6388888888888888,-0.04524083527594991,0.02785072835826774
Solyc04g080250,Solyc04g080250,B,GSE78733,external_not_used_in_grade,2,3,rank01,True,0.14418149448690343,0.5977957589285716,True,1.0,0.11572560417834704,0.17136829059576855
Solyc04g064870,Solyc04g064870,B,GSE78733,external_not_used_in_grade,2,3,rank01,True,0.27602614417657656,0.46723865327380965,True,1.0,0.22724679591214458,0.32480549244100837
Solyc02g084600,Solyc02g084600,B,GSE78733,external_not_used_in_grade,2,3,rank01,True,-0.13941101832453015,-0.47564406622023814,True,0.9907407407407407,-0.2641958550955571,-0.014626181553503148
Solyc06g053950,Solyc06g053950,C,GSE78733,external_not_used_in_grade,2,3,rank01,False,,,,,,
Solyc04g080540,Solyc04g080540,C,GSE78733,external_not_used_in_grade,2,3,rank01,True,0.04160396195422289,0.41784086681547616,True,1.0,0.01768026990075422,0.06552765400769145
Solyc08g005770,AAT,A,GSE285925_No19,boundary_not_used_in_grade,3,3,log2cpm,False,,,,,,
Solyc01g006540,loxC,A,GSE285925_No19,boundary_not_used_in_grade,3,3,log2cpm,True,-0.5153393550369199,0.47509765625,False,0.0,-0.5394179626049151,-0.4881625256573547
