gene_id,studyshield_score,permutation_count,empirical_p,bh_fdr
Solyc04g054740,-0.8026329404044751,1000,0.013986013986013986,0.027851976349830426
Solyc10g086710,0.5972439617515907,1000,0.014985014985014986,0.0293377508567382
Solyc08g082250,-0.6162430669682231,1000,0.014985014985014986,0.0293377508567382
Solyc05g026240,-0.6169341413633901,1000,0.014985014985014986,0.0293377508567382
Solyc04g054990,-0.8879715928992119,1000,0.014985014985014986,0.0293377508567382
Solyc02g085910,0.6244743269602454,1000,0.015984015984015984,0.030271769047279254
Solyc09g011590,0.5997475538261332,1000,0.015984015984015984,0.030271769047279254
Solyc02g065780,-0.6132811680723849,1000,0.015984015984015984,0.030271769047279254
Solyc01g109790,-0.6146205714794025,1000,0.015984015984015984,0.030271769047279254
Solyc06g083070,-0.6186016681086712,1000,0.015984015984015984,0.030271769047279254
Solyc02g087840,-0.6199573951363146,1000,0.015984015984015984,0.030271769047279254
Solyc10g078160,-0.626168168367299,1000,0.015984015984015984,0.030271769047279254
Solyc10g078740,-0.7008901659442813,1000,0.015984015984015984,0.030271769047279254
Solyc07g051950,0.620039000337205,1000,0.016983016983016984,0.030543100310542172
Solyc02g067750,0.6185847889973418,1000,0.016983016983016984,0.030543100310542172
Solyc02g078620,-0.52915095951692,1000,0.016983016983016984,0.030543100310542172
Solyc10g011950,-0.5465671156851609,1000,0.016983016983016984,0.030543100310542172
Solyc10g018780,-0.5974482275884515,1000,0.016983016983016984,0.030543100310542172
Solyc01g110000,-0.6132665364037037,1000,0.016983016983016984,0.030543100310542172
Solyc07g007550,-0.6147103534060047,1000,0.016983016983016984,0.030543100310542172
Solyc01g097290,-0.6159795879636761,1000,0.016983016983016984,0.030543100310542172
Solyc02g084600,-0.618240076984146,1000,0.016983016983016984,0.030543100310542172
Solyc02g090930,-0.6188837552954864,1000,0.016983016983016984,0.030543100310542172
Solyc03g118120,-0.6202108800425755,1000,0.016983016983016984,0.030543100310542172
Solyc06g035610,-0.6548365607581355,1000,0.016983016983016984,0.030543100310542172
Solyc07g062550,-0.7293180147029041,1000,0.016983016983016984,0.030543100310542172
Solyc12g017530,0.7938117409458364,1000,0.017982017982017984,0.031485495636439036
