gene_id,effect_source_a,effect_source_b,same_direction,minimum_absolute_effect
Solyc11g006670,-0.4424874441964286,-0.5124453590029763,True,0.4424874441964286
Solyc12g098600,-0.515415736607143,-0.4423828125000001,True,0.4423828125000001
Solyc09g011470,0.5013020833333334,0.4423014322916667,True,0.4423014322916667
Solyc05g025600,-0.4415341331845238,-0.5233909970238095,True,0.4415341331845238
Solyc07g007750,-0.4411737351190477,-0.5875069754464286,True,0.4411737351190477
Solyc07g043420,-0.4394531250000001,-0.4466785249255951,True,0.4394531250000001
Solyc05g005960,-0.5015811011904763,-0.4392147972470238,True,0.4392147972470238
Solyc01g100930,-0.43872070312499994,-0.5687430245535715,True,0.43872070312499994
Solyc06g050840,-0.43806966145833337,-0.5967552548363096,True,0.43806966145833337
Solyc09g092130,-0.5697660900297621,-0.43785458519345244,True,0.43785458519345244
Solyc05g006740,-0.43745349702380953,-0.6022251674107142,True,0.43745349702380953
Solyc04g071800,-0.5704868861607142,-0.43688964843749994,True,0.43688964843749994
Solyc09g083390,0.5057082403273812,0.4367327008928572,True,0.4367327008928572
Solyc02g090960,-0.5336565290178571,-0.4366571335565478,True,0.4366571335565478
Solyc01g008680,0.4362676711309524,0.44338843936011907,True,0.4362676711309524
Solyc12g099430,-0.4562639508928572,-0.43623279389880953,True,0.43623279389880953
Solyc11g008630,-0.5546758742559526,-0.4361862909226192,True,0.4361862909226192
Solyc12g015850,-0.4688778831845238,-0.43575032552083337,True,0.43575032552083337
Solyc08g061560,-0.577090308779762,-0.4344308035714286,True,0.4344308035714286
Solyc07g049290,-0.434384300595238,-0.5990164620535714,True,0.434384300595238
Solyc07g005390,-0.5202752976190477,-0.43392508370535715,True,0.43392508370535715
Solyc02g078620,-0.43318684895833354,-0.5008661179315477,True,0.43318684895833354
Solyc02g055440,-0.5231468563988095,-0.43253580729166674,True,0.43253580729166674
Solyc02g090930,-0.43243117559523814,-0.7506452287946429,True,0.43243117559523814
Solyc02g087840,-0.5917271205357142,-0.43229166666666674,True,0.43229166666666674
Solyc03g093360,-0.4320242745535715,-0.5904889787946428,True,0.4320242745535715
Solyc11g018500,-0.5460263206845238,-0.4305478050595239,True,0.4305478050595239
Solyc08g013670,-0.42980375744047616,-0.52197265625,True,0.42980375744047616
Solyc11g010200,-0.4297572544642857,-0.5423700241815476,True,0.4297572544642857
Solyc10g079410,-0.42926897321428575,-0.5174386160714286,True,0.42926897321428575
Solyc07g066150,-0.42925734747023814,-0.5712076822916667,True,0.42925734747023814
Solyc06g084050,-0.42836216517857145,-0.7844122023809523,True,0.42836216517857145
Solyc12g011410,-0.42822265624999994,-0.6523030598958333,True,0.42822265624999994
Solyc06g082460,-0.4273158482142856,-0.5394403366815478,True,0.4273158482142856
Solyc06g065670,-0.49434988839285704,-0.42712983630952384,True,0.42712983630952384
Solyc08g081940,-0.5038713727678571,-0.42662992931547633,True,0.42662992931547633
Solyc08g078870,0.4613676525297618,0.4264787946428571,True,0.4264787946428571
Solyc07g051820,-0.42529296874999994,-0.574311755952381,True,0.42529296874999994
Solyc01g105050,-0.4246535528273811,-0.664306640625,True,0.4246535528273811
Solyc05g005920,-0.42417689732142855,-0.42953636532738093,True,0.42417689732142855
Solyc01g066740,-0.42368861607142866,-0.450288318452381,True,0.42368861607142866
Solyc10g050110,-0.4230608258928571,-0.7660086495535714,True,0.4230608258928571
Solyc05g051010,-0.49596586681547616,-0.42289225260416674,True,0.42289225260416674
Solyc10g044510,-0.4226306733630953,-0.4345238095238096,True,0.4226306733630953
Solyc07g007350,-0.43659319196428575,-0.4200497581845239,True,0.4200497581845239
Solyc02g087870,-0.4198172433035713,-0.43889508928571436,True,0.4198172433035713
Solyc10g005210,-0.699311755952381,-0.4195033482142857,True,0.4195033482142857
Solyc02g069670,-0.41909644717261907,-0.4639834449404763,True,0.41909644717261907
Solyc09g092430,-0.418701171875,-0.6249302455357142,True,0.418701171875
Solyc03g033730,-0.4183175223214286,-0.4631173270089286,True,0.4183175223214286
Solyc12g088700,-0.41829427083333337,-0.590547107514881,True,0.41829427083333337
Solyc03g122130,0.4178931826636906,0.4302804129464287,True,0.4178931826636906
Solyc04g072850,-0.5227167038690477,-0.41673642113095244,True,0.41673642113095244
Solyc05g056170,-0.4347679501488095,-0.41663178943452395,True,0.41663178943452395
Solyc04g070970,-0.6566685267857144,-0.41627139136904756,True,0.41627139136904756
Solyc07g062670,0.5576753162202381,0.4162481398809524,True,0.4162481398809524
Solyc07g017950,-0.4732491629464286,-0.41467866443452395,True,0.41467866443452395
Solyc06g050870,0.7149948846726191,0.41303943452380965,True,0.41303943452380965
Solyc03g082560,-0.41287667410714274,-0.5278087797619048,True,0.41287667410714274
Solyc11g040150,-0.4128534226190476,-0.6010858444940477,True,0.4128534226190476
Solyc01g109180,-0.4111095610119048,-0.6201927548363096,True,0.4111095610119048
Solyc02g065780,-0.41091192336309523,-0.5167178199404763,True,0.41091192336309523
Solyc02g078570,-0.4928966703869048,-0.4106794084821429,True,0.4106794084821429
Solyc06g083580,-0.41048177083333326,-0.7416178385416666,True,0.41048177083333326
