gene_id,tissue_context_count,tissue_context_direction_consistency,tissue_contexts_concordant,tissue_contexts_measured
Solyc02g055440,9,1.0,Collenchyma;Columella;Inner epidermis;Locular tissue;Parenchyma;Placenta;Seeds;Septum;Total pericarp,Collenchyma;Columella;Inner epidermis;Locular tissue;Parenchyma;Placenta;Seeds;Septum;Total pericarp
Solyc02g062390,11,1.0,Collenchyma;Columella;Inner epidermis;Locular tissue;Outer epidermis;Parenchyma;Placenta;Seeds;Septum;Total pericarp;Vascular tissue,Collenchyma;Columella;Inner epidermis;Locular tissue;Outer epidermis;Parenchyma;Placenta;Seeds;Septum;Total pericarp;Vascular tissue
Solyc02g063030,8,1.0,Columella;Inner epidermis;Locular tissue;Parenchyma;Placenta;Septum;Total pericarp;Vascular tissue,Columella;Inner epidermis;Locular tissue;Parenchyma;Placenta;Septum;Total pericarp;Vascular tissue
Solyc02g063150,11,1.0,Collenchyma;Columella;Inner epidermis;Locular tissue;Outer epidermis;Parenchyma;Placenta;Seeds;Septum;Total pericarp;Vascular tissue,Collenchyma;Columella;Inner epidermis;Locular tissue;Outer epidermis;Parenchyma;Placenta;Seeds;Septum;Total pericarp;Vascular tissue
Solyc02g064830,3,0.0,,Columella;Locular tissue;Seeds
Solyc02g065260,11,1.0,Collenchyma;Columella;Inner epidermis;Locular tissue;Outer epidermis;Parenchyma;Placenta;Seeds;Septum;Total pericarp;Vascular tissue,Collenchyma;Columella;Inner epidermis;Locular tissue;Outer epidermis;Parenchyma;Placenta;Seeds;Septum;Total pericarp;Vascular tissue
Solyc02g065280,11,1.0,Collenchyma;Columella;Inner epidermis;Locular tissue;Outer epidermis;Parenchyma;Placenta;Seeds;Septum;Total pericarp;Vascular tissue,Collenchyma;Columella;Inner epidermis;Locular tissue;Outer epidermis;Parenchyma;Placenta;Seeds;Septum;Total pericarp;Vascular tissue
Solyc02g065350,11,1.0,Collenchyma;Columella;Inner epidermis;Locular tissue;Outer epidermis;Parenchyma;Placenta;Seeds;Septum;Total pericarp;Vascular tissue,Collenchyma;Columella;Inner epidermis;Locular tissue;Outer epidermis;Parenchyma;Placenta;Seeds;Septum;Total pericarp;Vascular tissue
Solyc02g065530,9,1.0,Collenchyma;Columella;Inner epidermis;Locular tissue;Outer epidermis;Parenchyma;Placenta;Septum;Total pericarp,Collenchyma;Columella;Inner epidermis;Locular tissue;Outer epidermis;Parenchyma;Placenta;Septum;Total pericarp
Solyc02g065780,10,1.0,Collenchyma;Columella;Inner epidermis;Locular tissue;Outer epidermis;Parenchyma;Placenta;Septum;Total pericarp;Vascular tissue,Collenchyma;Columella;Inner epidermis;Locular tissue;Outer epidermis;Parenchyma;Placenta;Septum;Total pericarp;Vascular tissue
Solyc02g067320,8,1.0,Collenchyma;Columella;Inner epidermis;Placenta;Seeds;Septum;Total pericarp;Vascular tissue,Collenchyma;Columella;Inner epidermis;Placenta;Seeds;Septum;Total pericarp;Vascular tissue
Solyc02g067750,8,1.0,Columella;Inner epidermis;Locular tissue;Placenta;Seeds;Septum;Total pericarp;Vascular tissue,Columella;Inner epidermis;Locular tissue;Placenta;Seeds;Septum;Total pericarp;Vascular tissue
Solyc02g069670,11,1.0,Collenchyma;Columella;Inner epidermis;Locular tissue;Outer epidermis;Parenchyma;Placenta;Seeds;Septum;Total pericarp;Vascular tissue,Collenchyma;Columella;Inner epidermis;Locular tissue;Outer epidermis;Parenchyma;Placenta;Seeds;Septum;Total pericarp;Vascular tissue
Solyc02g070020,11,1.0,Collenchyma;Columella;Inner epidermis;Locular tissue;Outer epidermis;Parenchyma;Placenta;Seeds;Septum;Total pericarp;Vascular tissue,Collenchyma;Columella;Inner epidermis;Locular tissue;Outer epidermis;Parenchyma;Placenta;Seeds;Septum;Total pericarp;Vascular tissue
Solyc02g070790,11,1.0,Collenchyma;Columella;Inner epidermis;Locular tissue;Outer epidermis;Parenchyma;Placenta;Seeds;Septum;Total pericarp;Vascular tissue,Collenchyma;Columella;Inner epidermis;Locular tissue;Outer epidermis;Parenchyma;Placenta;Seeds;Septum;Total pericarp;Vascular tissue
Solyc02g070800,11,1.0,Collenchyma;Columella;Inner epidermis;Locular tissue;Outer epidermis;Parenchyma;Placenta;Seeds;Septum;Total pericarp;Vascular tissue,Collenchyma;Columella;Inner epidermis;Locular tissue;Outer epidermis;Parenchyma;Placenta;Seeds;Septum;Total pericarp;Vascular tissue
Solyc02g070890,10,1.0,Collenchyma;Columella;Inner epidermis;Locular tissue;Parenchyma;Placenta;Seeds;Septum;Total pericarp;Vascular tissue,Collenchyma;Columella;Inner epidermis;Locular tissue;Parenchyma;Placenta;Seeds;Septum;Total pericarp;Vascular tissue
Solyc02g070940,11,1.0,Collenchyma;Columella;Inner epidermis;Locular tissue;Outer epidermis;Parenchyma;Placenta;Seeds;Septum;Total pericarp;Vascular tissue,Collenchyma;Columella;Inner epidermis;Locular tissue;Outer epidermis;Parenchyma;Placenta;Seeds;Septum;Total pericarp;Vascular tissue
Solyc02g071000,10,1.0,Collenchyma;Columella;Inner epidermis;Locular tissue;Outer epidermis;Parenchyma;Seeds;Septum;Total pericarp;Vascular tissue,Collenchyma;Columella;Inner epidermis;Locular tissue;Outer epidermis;Parenchyma;Seeds;Septum;Total pericarp;Vascular tissue
Solyc02g072440,9,1.0,Collenchyma;Columella;Inner epidermis;Locular tissue;Parenchyma;Placenta;Septum;Total pericarp;Vascular tissue,Collenchyma;Columella;Inner epidermis;Locular tissue;Parenchyma;Placenta;Septum;Total pericarp;Vascular tissue
