gene_id,effect_source_a,protein_description,protein_log2_BR8_vs_MG,protein_measured,protein_de_log2_ratio,protein_de_p,protein_de_fdr,phosphosite_de_count,phosphosite_max_abs_log2_ratio,phosphosite_representative_log2_ratio,phosphosite_min_fdr,phosphosite_ids,protein_differential_BR8_vs_MG,phosphosite_differential_BR8_vs_MG
Solyc06g074260,-0.4311755952380952,Genomic DNA chromosome 5 P1 clone MWD9  IPR007608  Protein of unknown function DUF584,-3.8613704376295876,True,-3.856044920744548,1.86759769812585e-16,1.59607772509063e-14,6.0,4.233460375104045,4.233460375104045,1.09283047729577e-12,Solyc06g074260.2.1_S139;S148;Solyc06g074260.2.1_S188;Solyc06g074260.2.1_T182;S188,True,True
Solyc02g092120,0.4562523251488096,,,,,,,,,,,,,
Solyc02g092110,0.4161551339285715,,,,,,,,,,,,,
Solyc06g035580,-0.573428199404762,Choline dehydrogenase  IPR012132  Glucose-methanol-choline oxidoreductase,-2.2259577969830544,True,-2.2241838771936386,3.76729990409893e-15,1.63335422183567e-13,,,,,,True,False
Solyc05g011960,0.5136486235119048,,,,,,,,,,,,,
Solyc03g118060,0.4217471168154762,Unknown Protein,1.1291774137884327,True,1.1292366809635468,6.0863039578533e-11,4.33107042253004e-10,,,,,,True,False
Solyc05g011970,0.4735863095238096,,,,,,,,,,,,,
Solyc06g051800,0.5537225632440477,"Expansin  IPR007112  Expansin 45, endoglucanase-like  IPR007117  Pollen allergen_expansin, C-terminal",2.4344987563796154,True,2.4328424676950244,6.85356954970551e-16,4.1722278190262e-14,,,,,,True,False
Solyc06g074000,-0.6530412946428571,Aspartic proteinase nepenthesin-2  IPR001461  Peptidase A1,-0.2369256169091315,True,,,,,,,,,False,False
Solyc09g075140,-0.4647739955357142,,,,,,,,,,,,,
Solyc03g118100,0.5835077194940477,,,,,,,,,,,,,
Solyc06g072700,-0.4180152529761904,,,,,,,,,,,,,
Solyc08g006310,-0.4141206287202382,,,,,,,,,,,,,
Solyc06g064900,0.4585309709821429,,,,,,,,,,,,,
Solyc09g065670,-0.4256184895833335,,,,,,,,,,,,,
Solyc05g015360,0.4064418247767857,,,,,,,,,,,,,
Solyc06g072650,0.5408296130952381,,,,,,,,,,,,,
Solyc02g021680,0.4929315476190475,WRKY transcription factor 37  IPR003657  DNA-binding WRKY,0.9420321040521437,True,0.954057900431902,1.35712688316186e-05,2.70027842792537e-05,1.0,1.0196380443463413,-1.0196380443463413,4.64181770218847e-05,Solyc02g021680.2.1_S139,True,True
Solyc10g018780,-0.4772251674107143,,,,,,,,,,,,,
Solyc10g011950,-0.6425548735119048,,,,,,,,,,,,,
Solyc09g007940,-0.4393136160714285,Adenosine kinase  IPR001805  Adenosine kinase,-1.1176725726522967,True,-1.1169426255776937,8.65039574447815e-13,1.2184582785566e-11,,,,,,True,False
Solyc02g078040,-0.4080636160714285,Pistil extensin like protein (Fragment)  IPR006041  Pollen Ole e 1 allergen and extensin,-1.4065385015928242,True,-1.407280776276796,1.20366942518962e-11,1.0894311457317e-10,,,,,,True,False
Solyc11g011210,0.4472423735119048,Gibberellin regulated protein  IPR003854  Gibberellin regulated protein,3.432247173589163,True,3.431010262047961,1.52841443500528e-15,7.89799273158545e-14,,,,,,True,False
Solyc06g053950,0.4723772321428572,Heat stress transcription factor A-2c,0.8216276955250653,True,0.8216664182249038,8.40191479868763e-12,8.0731047276471e-11,,,,,,True,False
Solyc01g096740,0.4270135788690477,,,,,,,,,,,,,
Solyc04g076220,0.5775320870535714,AT-hook motif nuclear localized protein 17  IPR014476  Predicted AT-hook DNA-binding,1.4255091539033755,True,1.4192310020727297,1.19736908955659e-11,1.08594045591622e-10,2.0,1.4431852331380095,1.4431852331380095,9.24279695993616e-10,Solyc04g076220.2.1_S69;Solyc04g076220.2.1_S74,True,True
Solyc10g085830,0.4408017113095237,"O-methyltransferase 1  IPR016461  O-methyltransferase, COMT, eukaryota",2.1540503740380776,True,2.1545691570333445,1.85520329447116e-17,3.36511160842034e-15,1.0,0.7517024843412247,-0.7517024843412247,3.16948431084855e-05,Solyc10g085830.1.1_S55,True,True
Solyc08g069010,-0.6010393415178571,,,,,,,,,,,,,
Solyc11g012860,-0.4114699590773809,,,,,,,,,,,,,
Solyc10g081010,-0.4390752883184524,,,,,,,,,,,,,
Solyc02g070890,0.5818684895833335,"Receptor like kinase, RLK",0.6015892301306153,True,0.6017780495386665,2.78146360221014e-09,1.23855954391e-08,,,,,,True,False
Solyc12g014570,-0.6231282552083335,"Glycerophosphoryl diester phosphodiesterase family protein  IPR017946  PLC-like phosphodiesterase, TIM beta_alpha-barrel domain",-0.4433594288151854,True,,,,,,,,,False,False
Solyc08g014130,0.478701636904762,2-isopropylmalate synthase 1  IPR005671  Bacterial 2-isopropylmalate synthase,2.7319877840289917,True,2.7299038135440234,2.75217435894439e-16,2.14573032476296e-14,3.0,1.6162312407009247,-1.6162312407009247,4.04538155011652e-09,Solyc08g014130.2.1_S403;Solyc08g014130.2.1_S572;Solyc08g014130.2.1_S86,True,True
Solyc01g109790,-0.5250186011904763,"Glucose-1-phosphate adenylyltransferase  IPR011831  Glucose-1-phosphate adenylyltransferase  IPR005836  ADP-glucose pyrophosphorylase, conserved site",-2.2757261117893015,True,-2.2756257786246934,4.33941578532819e-18,1.53325969850328e-15,,,,,,True,False
Solyc01g108400,0.5456659226190477,,,,,,,,,,,,,
Solyc06g061170,0.4193754650297618,Solute carrier family 25 (Mitochondrial carrier ornithine transporter) member 15  IPR002067  Mitochondrial carrier protein,1.7889485717272033,True,1.7893096181481611,1.2156803419456e-16,1.25639149758285e-14,,,,,,True,False
Solyc09g015000,0.4029366629464286,class I heat shock protein  IPR002068  Heat shock protein Hsp20,4.214269987612362,True,4.22221773125038,2.1052175651424e-17,3.59830263826647e-15,,,,,,True,False
Solyc04g082120,0.4406273251488096,,,,,,,,,,,,,
Solyc08g007890,0.5513160342261907,,,,,,,,,,,,,
Solyc06g068900,0.5066615513392856,,,,,,,,,,,,,
Solyc11g006020,-0.5436314174107144,NAD(P)H-quinone oxidoreductase subunit O,-0.6626840171804929,True,-0.6606494665536191,9.55890965634127e-06,1.95804537970871e-05,,,,,,True,False
Solyc02g070020,0.5411667596726191,UDP-glucosyltransferase  IPR002213  UDP-glucuronosyl_UDP-glucosyltransferase,2.8322775063905894,True,2.832418848714766,1.33551933179866e-19,2.82958665073151e-16,1.0,1.509954923433817,-1.509954923433817,1.78830842959029e-09,Solyc02g070020.1.1_S446,True,True
Solyc06g051150,0.5607910156250001,,,,,,,,,,,,,
Solyc03g120290,-0.4852353050595238,,,,,,,,,,,,,
Solyc12g011450,-0.4740164620535715,"Chlorophyll a-b binding protein 13, chloroplastic  IPR001344  Chlorophyll A-B binding protein",-3.1931799803926606,True,-3.190237062385258,5.39426762315079e-14,1.22306761822868e-12,,,,,,True,False
Solyc01g109500,-0.4112723214285714,,,,,,,,,,,,,
Solyc04g071590,0.5196242559523809,,,,,,,,,,,,,
Solyc03g026210,-0.4304082961309524,"Dihydrodipicolinate reductase family protein  IPR011770  Dihydrodipicolinate reductase, bacterial and plant",-0.5590080824230421,True,,,,,,,,,False,False
Solyc03g117630,0.431489490327381,heat shock protein  IPR013126  Heat shock protein 70,2.8462739735712863,True,2.845707084928814,3.20561954538043e-17,4.82907568124429e-15,,,,,,True,False
Solyc04g012060,-0.4752952938988095,"Ribonucleoside-diphosphate reductase  IPR013346  Ribonucleoside-diphosphate reductase, alpha subunit",-0.07497579754861958,True,,,,,,,,,False,False
Solyc02g014430,0.4222877139136905,,,,,,,,,,,,,
Solyc02g088500,-0.406005859375,C-glucosyltransferase  IPR002213  UDP-glucuronosyl_UDP-glucosyltransferase,-1.4219587046534972,True,-1.4222477252809105,2.92094866754991e-14,7.59105022139873e-13,,,,,,True,False
Solyc07g056540,-0.5067313058035715,"L-lactate dehydrogenase  IPR012133  Alpha-hydroxy acid dehydrogenase, FMN-dependent",-2.2423109340457037,True,-2.242089197378541,1.28495558833629e-11,1.14665514750331e-10,,,,,,True,False
Solyc05g041430,-0.4406854538690476,,,,,,,,,,,,,
Solyc07g008430,-0.5496070498511905,,,,,,,,,,,,,
Solyc03g123830,-0.452450706845238,Phosphoglycerate dehydrogenase  IPR015508  D-3-phosphogylcerate Dehydrogenase,-2.5473608747848187,True,-2.5474318172102284,1.24121901802422e-18,8.48611894784564e-16,,,,,,True,False
Solyc11g008720,0.4217006138392857,"Beta-glucosidase G4  IPR001360  Glycoside hydrolase, family 1",2.745736063935063,True,2.7470204341454396,4.64754308036962e-17,5.98657433309061e-15,2.0,1.8002087371445255,-1.8002087371445255,5.10458874971274e-11,Solyc11g008720.1.1_S342;Solyc11g008720.1.1_S99,True,True
Solyc02g070800,-0.4417782738095237,,,,,,,,,,,,,
Solyc05g007770,0.4496023995535715,,,,,,,,,,,,,
Solyc09g005560,0.5317499069940477,,,,,,,,,,,,,
Solyc11g071980,-0.4297688802083333,,,,,,,,,,,,,
Solyc06g006090,-0.5230654761904763,,,,,,,,,,,,,
