gene_id,protein_description,protein_log2_BR8_vs_MG,protein_measured,protein_de_log2_ratio,protein_de_p,protein_de_fdr,phosphosite_de_count,phosphosite_max_abs_log2_ratio,phosphosite_representative_log2_ratio,phosphosite_min_fdr,phosphosite_ids,protein_differential_BR8_vs_MG,phosphosite_differential_BR8_vs_MG
Solyc01g107750,"Phosphatase and tensin-like A  IPR014020  Tensin phosphatase, C2 domain",-0.05279126819563191,True,,,,16.0,2.369977365574961,2.369977365574961,2.32785924312676e-08,Solyc01g107750.2.1_S569;Solyc01g107750.2.1_S618;Solyc01g107750.2.1_S87;S90;T112;Solyc01g107750.2.1_S87;T95;T112;Solyc01g107750.2.1_S90;T102;Solyc01g107750.2.1_S90;T112;Solyc01g107750.2.1_S90;T92;T102;Solyc01g107750.2.1_S90;T92;T112;Solyc01g107750.2.1_S93;T102;Solyc01g107750.2.1_S93;T112;Solyc01g107750.2.1_S93;T95,False,True
Solyc01g107780,UDP-glucosyltransferase family 1 protein  IPR002213  UDP-glucuronosyl_UDP-glucosyltransferase,0.3769144472736555,True,,,,,,,,,False,False
Solyc01g107820,UDP-glucosyltransferase family 1 protein  IPR002213  UDP-glucuronosyl_UDP-glucosyltransferase,0.9072795884896494,True,0.9070830943231171,5.13600859101517e-11,3.74170855384777e-10,,,,,,True,False
Solyc01g107830,UDP-glucosyltransferase family 1 protein  IPR002213  UDP-glucuronosyl_UDP-glucosyltransferase,2.3078078570712544,True,2.307893106601365,1.44797671609004e-17,2.992934198281e-15,,,,,,True,False
Solyc01g107860,"CBS domain-containing protein-like  IPR000644  Cystathionine beta-synthase, core",0.4020970364684755,True,,,,,,,,,False,False
Solyc01g107870,"Poly(A) RNA binding protein  IPR006515  Polyadenylate binding protein, human types 1, 2, 3, 4",-0.01585822023220525,True,,,,1.0,0.8473133663992453,0.8473133663992453,5.76757236337132e-07,Solyc01g107870.2.1_S557,False,True
Solyc01g107880,"Membrane-associated ring finger 6  IPR011016  Zinc finger, RING-CH-type",0.2531760353298011,True,,,,,,,,,False,False
Solyc01g107900,Acyltransferase WS_DGAT_MGAT family protein  IPR009721  Protein of unknown function DUF1298,0.5737283275618198,True,,,,,,,,,False,False
Solyc01g107910,"Caffeoyl CoA 3-O-methyltransferase  IPR002935  O-methyltransferase, family 3",-1.16567204717577,True,-1.167109147498093,9.51462133332154e-11,6.37271698647791e-10,,,,,,True,False
Solyc01g107990,"MAPprotein kinase-like protein  IPR017946  PLC-like phosphodiesterase, TIM beta_alpha-barrel domain",-0.005805288942213552,True,,,,,,,,,False,False
Solyc01g108020,"Thioredoxin m  IPR015467  Thioredoxin, core",-0.41385027662254764,True,,,,1.0,1.1415581162505697,1.1415581162505697,1.6682350052746e-08,Solyc01g108020.2.1_S23,False,True
Solyc01g108030,Methylcrotonoyl-CoA carboxylase beta subunit  IPR000022  Carboxyl transferase,0.8560362672513988,True,0.8556071597429026,1.93577465689402e-11,1.61854799157799e-10,,,,,,True,False
Solyc01g108070,4-methyl-5(B-hydroxyethyl)-thiazole monophosphate biosynthesis enzyme  IPR006287  DJ-1,-0.4563874342422455,True,,,,,,,,,False,False
